fid,new_commun,old_commun,mean_runoff,date
14,ANTARETRA,ANTARETRA,0.030256062777639644,2001-04
15,ANTSINDRA,ANTSINDRA,0.032827354443418916,2001-04
5,AMPASINAMBO,FASINTSARA,0.03501556018367904,2001-04
11,FASINTSARA,FASINTSARA,0.03719651679350361,2001-04
8,IFANADIANA,IFANADIANA,0.041809294266015005,2001-04
3,KELILALINA,KELILALINA,0.042951869957847714,2001-04
12,MAROHARATRA,MAROHARATRA,0.03159614468442081,2001-04
13,MAROTOKO,MAROTOKO,0.04196601321298762,2001-04
1,RANOMAFANA,RANOMAFANA,0.04295734951426361,2001-04
10,TSARATANANA,TSARATANANA,0.032760649054440025,2001-04
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.03283949428226044,2001-05
4,AMBOHIMIERA,AMBOHIMIERA,0.033129660390441164,2001-05
9,ANALAMPASINA,ANALAMPASINA,0.03390204927873886,2001-05
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.03317633366057993,2001-05
7,AMBIABE,ANDRORANGAVOLA,0.036327534275889924,2001-05
14,ANTARETRA,ANTARETRA,0.025783786759030335,2001-05
15,ANTSINDRA,ANTSINDRA,0.026825256914894992,2001-05
5,AMPASINAMBO,FASINTSARA,0.03065084797515902,2001-05
11,FASINTSARA,FASINTSARA,0.029424317099369646,2001-05
8,IFANADIANA,IFANADIANA,0.033361413999682885,2001-05
3,KELILALINA,KELILALINA,0.033505476291446276,2001-05
12,MAROHARATRA,MAROHARATRA,0.027102131750522573,2001-05
13,MAROTOKO,MAROTOKO,0.03298838957279968,2001-05
1,RANOMAFANA,RANOMAFANA,0.032671909415671566,2001-05
10,TSARATANANA,TSARATANANA,0.028434875829092883,2001-05
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.025450567953589562,2001-06
4,AMBOHIMIERA,AMBOHIMIERA,0.025052094666153258,2001-06
9,ANALAMPASINA,ANALAMPASINA,0.025670323964078527,2001-06
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.026299600053588997,2001-06
7,AMBIABE,ANDRORANGAVOLA,0.02804917845713423,2001-06
